"","PN09816PM"
"","Índice de precios Lima Metropolitana (var% mensual) - IPC Alimentos y Energía"
Ago20,-0.37306292981623
Sep20,0.240395033722403
Oct20,-0.0601600112155809
Nov20,0.999820495150294
Dic20,-0.297393438955158
Ene21,1.62151703719724
Feb21,-0.307608595734541
Mar21,1.07009125901349
Abr21,-0.352392744462697
May21,0.380372910185817
Jun21,0.895356736029725
Jul21,1.84543081538427
Ago21,1.70004484192427
Sep21,0.593059695950382
Oct21,0.904285203435286
Nov21,0.496079687258691
Dic21,0.916099396457412
Ene22,0.275835066851002
Feb22,0.440829603705914
Mar22,2.28042041380998
Abr22,1.5654346049806
May22,0.13945770316108
Jun22,1.58505316628683
Jul22,1.17944846685258
Ago22,1.08841639952098
Sep22,0.744952868104543
Oct22,0.170788426080015
Nov22,0.860422164941925
Dic22,1.09447665094302
Ene23,0.427627093970203
Feb23,0.318165421569074
Mar23,1.69281046949432
Abr23,0.961476556572605
May23,0.594418224338102
Jun23,-0.48517712115569
Jul23,0.50712509675772
Ago23,0.527845244197978
Sep23,-0.116686077244901
Oct23,-0.94027750281786
Nov23,-0.35482083147351
Dic23,0.461352495471417
Ene24,0.0306751413909919
Feb24,0.611696553954642
Mar24,1.16401920384777
Abr24,-0.241894362336576
May24,-0.382543095580563
Jun24,0.0784483617508993
Jul24,0.288980313572041
Ago24,0.598383992160695
Sep24,-0.511362477584901
Oct24,-0.295556444525073
Nov24,0.129295812079551
Dic24,-0.2370005268138
Ene25,-0.022242246550983
Feb25,0.184578991654261
Mar25,1.01297509587993
Abr25,0.522546912435841
May25,-0.178418680995161
Jun25,0.202933748166971
Jul25,0.287906007197331
Ago25,-0.724055132986703
Sep25,-0.044166391846258
Oct25,-0.265612367986146
Nov25,0.174617045742462
